id,entry_time,side,entry_token_price,size,value_usdc,take_profit_usd,stop_loss_usd,take_profit_pct,stop_loss_pct,exit_time,exit_token_price,pnl_usd,pnl_pct,exit_reason,status
32,2026-02-21 21:27:51,LONG,0.685,6.0,4.199999999999999,1.0,1.0,0.2433,0.2433,2026-02-21 21:46:37,0.465,-1.3200000000000003,-31.428571428571438,MARKET_SETTLED,closed
31,2026-02-21 20:26:56,LONG,0.735,6.0,4.5600000000000005,1.0,1.0,0.2268,0.2268,2026-02-21 21:26:43,,,,STALE_CLEANUP,closed
30,2026-02-21 16:48:14,SHORT,0.585,6.0,3.5999999999999996,1.0,1.0,0.2849,0.2849,2026-02-21 20:11:14,,,,STALE_CLEANUP,closed
29,2026-02-21 16:08:23,SHORT,0.78,6.0,4.68,1.0,1.0,0.3,0.15,2026-02-21 16:44:01,,,,STALE_CLEANUP,closed
28,2026-02-21 15:21:40,LONG,0.58,6.0,3.4799999999999995,1.0,1.0,0.3,0.15,2026-02-21 15:42:11,,,,STALE_CLEANUP,closed
27,2026-02-21 14:38:28,SHORT,0.88,6.0,5.28,1.0,1.0,0.3,0.15,2026-02-21 14:55:29,0.365,3.09,58.52272727272727,MARKET_SETTLED,closed
26,2026-02-21 14:17:31,SHORT,0.58,6.0,3.4799999999999995,1.0,1.0,0.3,0.15,2026-02-21 14:32:32,0.455,0.7499999999999997,21.55172413793103,MARKET_SETTLED,closed
25,2026-02-21 13:55:01,SHORT,0.76,6.0,4.5600000000000005,1.0,1.0,0.3,0.15,,,,,,closed
24,2026-02-21 13:08:12,SHORT,0.58,6.0,3.4799999999999995,1.0,1.0,0.3,0.15,,,,,,closed
23,2026-02-21 12:36:58,SHORT,0.6,5.0,3.0,1.0,1.0,0.3,0.15,2026-02-21 12:52:15,0.485,0.575,19.166666666666664,MARKET_SETTLED,closed
22,2026-02-21 12:20:50,SHORT,0.62,5.0,3.1,1.0,1.0,0.3,0.15,2026-02-21 12:36:02,0.49,0.65,20.967741935483872,MARKET_SETTLED,closed
21,2026-02-21 12:08:52,SHORT,0.58,5.0,2.9,1.0,1.0,0.3,0.15,2026-02-21 12:23:57,0.385,0.9749999999999998,33.620689655172406,MARKET_SETTLED,closed
20,2026-02-21 11:49:09,LONG,0.58,5.0,2.9,1.0,1.0,0.3,0.15,2026-02-21 12:04:26,0.515,-0.32499999999999973,-11.206896551724128,MARKET_SETTLED,closed
19,2026-02-21 09:57:51,SHORT,0.66,5.0,3.3000000000000003,1.0,1.0,0.3,0.15,2026-02-21 10:39:53,0.505,0.7750000000000001,23.484848484848484,MARKET_SETTLED,closed
18,2026-02-21 09:22:29,SHORT,0.7,5.0,3.5,1.0,1.0,0.3,0.15,2026-02-21 09:57:13,0.355,1.7249999999999999,49.285714285714285,MARKET_SETTLED,closed
17,2026-02-21 08:55:37,SHORT,0.64,5.0,3.2,1.0,1.0,0.3,0.15,,,,,,closed
16,2026-02-21 08:26:35,SHORT,0.78,5.0,3.9000000000000004,1.0,1.0,0.3,0.15,,,,,,closed
15,2026-02-21 06:00:17,SHORT,0.58,6.0,3.48,1.0,1.0,0.3,0.15,2026-02-21 06:15:20,0.475,0.6299999999999999,18.103448275862068,MARKET_SETTLED,closed
14,2026-02-21 05:45:21,SHORT,0.58,6.741379310344828,3.91,1.0,1.0,0.3,0.15,2026-02-21 06:00:41,0.435,0.9774999999999998,24.999999999999993,MARKET_SETTLED,closed
13,2026-02-21 05:39:27,SHORT,0.58,6.620689655172414,3.84,1.0,1.0,0.3,0.15,2026-02-21 05:54:38,0.545,0.23172413793103394,6.034482758620676,MARKET_SETTLED,closed
12,2026-02-21 05:24:58,SHORT,0.68,5.264705882352941,3.58,1.0,1.0,0.3,0.15,,,,,,closed
11,2026-02-21 05:10:41,SHORT,0.68,5.279411764705881,3.59,1.0,1.0,0.3,0.15,2026-02-21 05:25:59,0.345,1.7686029411764705,49.26470588235294,MARKET_SETTLED,closed
10,2026-02-21 04:57:16,SHORT,0.62,6.112903225806452,3.79,1.0,1.0,0.3,0.15,2026-02-21 05:12:22,0.335,1.7421774193548387,45.96774193548387,MARKET_SETTLED,closed
9,2026-02-21 04:23:57,SHORT,0.8,5.0,4.0,1.0,1.0,0.3,0.15,2026-02-21 04:39:06,0.605,0.9750000000000003,24.375000000000007,MARKET_SETTLED,closed
8,2026-02-21 03:55:52,SHORT,0.58,6.448275862068966,3.74,1.0,1.0,0.3,0.15,,,,,,closed
7,2026-02-21 03:39:32,LONG,0.84,5.0,4.2,1.0,1.0,0.3,0.15,2026-02-21 03:54:35,0.525,-1.5749999999999997,-37.49999999999999,MARKET_SETTLED,closed
6,2026-02-21 03:24:55,LONG,0.7,5.1571428571428575,3.61,1.0,1.0,0.3,0.15,2026-02-21 03:40:06,0.825,0.6446428571428572,17.857142857142858,MARKET_SETTLED,closed
5,2026-02-21 02:44:27,LONG,0.965,5.0,4.825,1.0,1.0,0.3,0.15,,,,,,closed
4,2026-02-21 02:14:29,LONG,0.05,90.19999999999999,4.51,1.0,1.0,0.3,0.15,,,,,,closed
3,2026-02-21 01:23:47,LONG,0.44,9.136363636363635,4.02,1.0,1.0,0.3,0.15,,,,,,closed
2,2026-02-21 00:51:08,LONG,0.78,6.051282051282051,4.72,1.0,1.0,0.3,0.15,,,,,,closed
1,2026-02-21 00:37:25,LONG,0.77,5.753246753246753,4.43,1.0,1.0,0.3,0.15,,,,,,closed
